Node,Residual_ID_Rate,Delta_ID
0,0.7827102803738317,-0.001168224299065379
1,0.7815420560747663,0.0
2,0.7827102803738317,-0.001168224299065379
3,0.7768691588785046,0.004672897196261738
4,0.7792056074766355,0.002336448598130869
5,0.7780373831775701,0.003504672897196248
6,0.7838785046728971,-0.002336448598130758
7,0.7815420560747663,0.0
8,0.7827102803738317,-0.001168224299065379
9,0.7827102803738317,-0.001168224299065379
10,0.7850467289719627,-0.003504672897196359
11,0.780373831775701,0.001168224299065379
12,0.7827102803738317,-0.001168224299065379
13,0.7792056074766355,0.002336448598130869
14,0.7850467289719627,-0.003504672897196359
15,0.7838785046728972,-0.002336448598130869
16,0.7815420560747663,0.0
17,0.7827102803738317,-0.001168224299065379
18,0.7792056074766355,0.002336448598130869
19,0.780373831775701,0.001168224299065379
20,0.7792056074766356,0.002336448598130758
21,0.7815420560747663,0.0
22,0.7827102803738317,-0.001168224299065379
23,0.780373831775701,0.001168224299065379
24,0.7815420560747663,0.0
25,0.7862149532710281,-0.004672897196261738
26,0.7792056074766356,0.002336448598130758
27,0.7815420560747663,0.0
28,0.7850467289719626,-0.003504672897196248
29,0.7815420560747663,0.0
30,0.7862149532710281,-0.004672897196261738
31,0.7862149532710281,-0.004672897196261738
32,0.7780373831775701,0.003504672897196248
33,0.780373831775701,0.001168224299065379
34,0.7792056074766355,0.002336448598130869
35,0.7757009345794392,0.005841121495327117
36,0.780373831775701,0.001168224299065379
37,0.7838785046728971,-0.002336448598130758
38,0.780373831775701,0.001168224299065379
39,0.7780373831775701,0.003504672897196248
40,0.7792056074766355,0.002336448598130869
41,0.780373831775701,0.001168224299065379
42,0.7768691588785046,0.004672897196261738
43,0.780373831775701,0.001168224299065379
44,0.7815420560747663,0.0
45,0.780373831775701,0.001168224299065379
46,0.7768691588785046,0.004672897196261738
47,0.77803738317757,0.003504672897196359
48,0.7815420560747663,0.0
49,0.7827102803738317,-0.001168224299065379
50,0.7815420560747663,0.0
51,0.7838785046728972,-0.002336448598130869
52,0.7862149532710281,-0.004672897196261738
53,0.7757009345794392,0.005841121495327117
54,0.7815420560747663,0.0
55,0.780373831775701,0.001168224299065379
56,0.780373831775701,0.001168224299065379
57,0.7792056074766355,0.002336448598130869
58,0.7838785046728972,-0.002336448598130869
59,0.7850467289719626,-0.003504672897196248
60,0.7792056074766356,0.002336448598130758
61,0.7850467289719626,-0.003504672897196248
62,0.7815420560747663,0.0
63,0.7838785046728971,-0.002336448598130758
64,0.7838785046728972,-0.002336448598130869
65,0.7838785046728972,-0.002336448598130869
66,0.7815420560747663,0.0
67,0.7827102803738317,-0.001168224299065379
68,0.7792056074766356,0.002336448598130758
69,0.7815420560747663,0.0
70,0.7815420560747663,0.0
71,0.7792056074766355,0.002336448598130869
72,0.7792056074766355,0.002336448598130869
73,0.7780373831775701,0.003504672897196248
74,0.7827102803738317,-0.001168224299065379
75,0.780373831775701,0.001168224299065379
76,0.7838785046728971,-0.002336448598130758
77,0.7815420560747663,0.0
78,0.7838785046728971,-0.002336448598130758
79,0.7780373831775701,0.003504672897196248
80,0.7768691588785046,0.004672897196261738
81,0.7757009345794392,0.005841121495327117
82,0.7850467289719627,-0.003504672897196359
83,0.780373831775701,0.001168224299065379
84,0.780373831775701,0.001168224299065379
85,0.7792056074766356,0.002336448598130758
86,0.7827102803738317,-0.001168224299065379
87,0.7792056074766355,0.002336448598130869
88,0.7768691588785046,0.004672897196261738
89,0.7792056074766355,0.002336448598130869
90,0.7815420560747663,0.0
91,0.7827102803738317,-0.001168224299065379
92,0.7792056074766356,0.002336448598130758
93,0.7792056074766355,0.002336448598130869
94,0.7780373831775701,0.003504672897196248
95,0.7850467289719627,-0.003504672897196359
96,0.7780373831775701,0.003504672897196248
97,0.7768691588785046,0.004672897196261738
98,0.7827102803738317,-0.001168224299065379
99,0.7838785046728971,-0.002336448598130758
100,0.7838785046728972,-0.002336448598130869
101,0.7838785046728972,-0.002336448598130869
102,0.7780373831775701,0.003504672897196248
103,0.7897196261682243,-0.008177570093457986
104,0.7897196261682242,-0.008177570093457875
105,0.7897196261682242,-0.008177570093457875
106,0.7885514018691588,-0.007009345794392496
107,0.7850467289719627,-0.003504672897196359
108,0.7850467289719626,-0.003504672897196248
109,0.7850467289719626,-0.003504672897196248
110,0.794392523364486,-0.012850467289719614
111,0.7838785046728972,-0.002336448598130869
112,0.7908878504672897,-0.009345794392523366
113,0.7873831775700935,-0.005841121495327117
