subject,mean,std,min,max,load_time
LR_0,0.436063268698061,0.2067656398729541,-0.217314,1.0,0.0012507438659667969
LR_1,0.4706014499846106,0.2025094553473242,-0.303059,1.0,0.0012896060943603516
LR_2,0.30911033179439823,0.20171900664222922,-0.461699,1.0,0.0011401176452636719
LR_3,0.38440130686365026,0.20311062052322384,-0.331377,1.0,0.0011334419250488281
LR_4,0.31119029562942446,0.24117734768839333,-0.434656,1.0,0.00118255615234375
LR_5,0.4455700440135426,0.18779023895058658,-0.293723,1.0,0.001148223876953125
LR_6,0.39066831578947375,0.2309830886251058,-0.455427,1.0,0.001190185546875
LR_7,0.3466121780547861,0.23108860920481544,-0.529082,1.0,0.0012743473052978516
LR_8,0.5461046135734072,0.18926942123064053,-0.243308,1.0,0.0011286735534667969
LR_9,0.44106372868574945,0.2280669655127651,-0.363864,1.0,0.0011377334594726562
LR_10,0.5060397505386274,0.18521200603975274,-0.104288,1.0,0.0011699199676513672
LR_11,0.4228591523545706,0.20676301119265175,-0.294526,1.0,0.0011801719665527344
LR_12,0.3515518825792552,0.21850130264140316,-0.404204,1.0,0.0012135505676269531
LR_13,0.34934946983687293,0.20687450400388757,-0.468859,1.0,0.001165628433227539
LR_14,0.39733624869190515,0.18944488475928947,-0.218666,1.0,0.0012869834899902344
LR_15,0.2918553219452139,0.22647233110332424,-0.48026,1.0,0.0011692047119140625
LR_16,0.45421781240381653,0.2011439171069796,-0.270107,1.0,0.0011668205261230469
LR_17,0.4476866523545706,0.2347471576008041,-0.487695,1.0,0.0011794567108154297
LR_18,0.31598642813173283,0.23325851863057218,-0.390165,1.0,0.0012950897216796875
LR_19,0.35679034241305013,0.20080848723880074,-0.30018,1.0,0.0011487007141113281
LR_20,0.24705225438596493,0.2452512515959442,-0.484228,1.0,0.0011820793151855469
LR_21,0.6558295704832257,0.1565208101453494,0.048767,1.0,0.0011441707611083984
LR_22,0.3607520363188674,0.2328884856615989,-0.402255,1.0,0.0011627674102783203
LR_23,0.3907851035703293,0.23409359143381095,-0.460127,1.0,0.0011665821075439453
LR_24,0.42408769052016004,0.22436572284014938,-0.450085,1.0,0.0011515617370605469
LR_25,0.27445342690058483,0.2693206040243829,-0.557749,1.0,0.0011553764343261719
LR_26,0.41753726577408434,0.22131924307531273,-0.430792,1.0,0.0011684894561767578
LR_27,0.29980608802708525,0.23824899714309528,-0.73756,1.0,0.0011861324310302734
LR_28,0.2908628051708218,0.22216506414392723,-0.473625,1.0,0.0013127326965332031
LR_29,0.4755332122191443,0.2258120337655305,-0.251768,1.0,0.0012385845184326172
RL_0,0.3802674742997845,0.22328447472276075,-0.30528,1.0,0.001216888427734375
RL_1,0.5156003885811019,0.1827189940009822,-0.089749,1.0,0.0012099742889404297
RL_2,0.41242180393967376,0.22261802769625857,-0.353029,1.0,0.0012929439544677734
RL_3,0.4074284706063404,0.19951129797436215,-0.37825,1.0,0.001157999038696289
RL_4,0.218439581255771,0.2348434024428152,-0.552341,1.0,0.0012359619140625
RL_5,0.2689064370575562,0.4314868521270169,-0.871187,1.0,0.0012230873107910156
RL_6,0.4149363953524161,0.22691923927922547,-0.347333,1.0,0.0011341571807861328
RL_7,0.29941157356109577,0.2600428428237787,-0.417449,1.0,0.0012164115905761719
RL_8,0.41482518313327177,0.21984096014573307,-0.329042,1.0,0.0011255741119384766
RL_9,0.582411594952293,0.19348696625370285,-0.312357,1.0,0.001096963882446289
RL_10,0.49315850800246236,0.21365880706492227,-0.325657,1.0,0.001191854476928711
RL_11,0.4095823567251462,0.21146602815571802,-0.200796,1.0,0.0011444091796875
RL_12,0.414744013388735,0.21143182031550706,-0.314742,1.0,0.0011401176452636719
RL_13,0.47791548907356113,0.18176613442448808,-0.131661,1.0,0.002162933349609375
RL_14,0.383142689596799,0.25159700974945526,-0.698328,1.0,0.0011839866638183594
RL_15,0.42624061772853183,0.2160209644151284,-0.381551,1.0,0.0010123252868652344
RL_16,0.46746485657125264,0.20455616903887605,-0.2287,1.0,0.0010273456573486328
RL_17,0.4538463024007387,0.20566385066615506,-0.260912,1.0,0.0019834041595458984
RL_18,0.34528035780240074,0.19947431834116178,-0.268694,1.0,0.001493692398071289
RL_19,0.3610008099415205,0.20087523753874723,-0.28498,1.0,0.0013213157653808594
RL_20,0.28934884533702676,0.22845535063574704,-0.427445,1.0,0.0012142658233642578
RL_21,0.6836082814712219,0.16917567010901186,-0.112778,1.0,0.0011451244354248047
RL_22,0.32900484333641117,0.2224036665245225,-0.374152,1.0,0.0012125968933105469
RL_23,0.3577668080947983,0.21633741035365345,-0.410445,1.0,0.0012426376342773438
RL_24,0.3508911809787627,0.23648495371445447,-0.439257,1.0,0.0018353462219238281
RL_25,0.333492256540474,0.22230152237400408,-0.361849,1.0,0.001062631607055664
RL_26,0.33981230240073873,0.23098142640309988,-0.315308,1.0,0.0010485649108886719
RL_27,0.26821713634964606,0.2873705381697604,-0.74436,1.0,0.0011589527130126953
RL_28,0.30198543105570946,0.21397631187121613,-0.349108,1.0,0.0011930465698242188
RL_29,0.3706768853493383,0.23873733057252286,-0.362558,1.0,0.0011470317840576172
